iter	Passed	Remaining
808	1496	353
809	1498	351
810	1499	349
811	1501	347
812	1503	345
813	1504	343
814	1506	341
815	1508	340
816	1510	338
817	1511	336
818	1513	334
819	1515	332
820	1516	330
821	1518	328
822	1520	326
823	1521	325
824	1523	323
825	1524	321
826	1526	319
827	1528	317
828	1530	315
829	1531	313
830	1533	311
831	1534	309
832	1536	307
833	1537	306
834	1539	304
835	1541	302
836	1542	300
837	1544	298
838	1545	296
839	1547	294
840	1548	292
841	1550	290
842	1551	288
843	1553	287
844	1554	285
845	1556	283
846	1558	281
847	1559	279
848	1561	277
849	1562	275
850	1564	273
851	1566	272
852	1567	270
853	1569	268
854	1570	266
855	1572	264
856	1574	262
857	1575	260
858	1577	259
859	1579	257
860	1581	255
861	1582	253
862	1584	251
863	1586	249
864	1587	247
865	1589	245
866	1591	244
867	1592	242
868	1594	240
869	1595	238
870	1597	236
871	1598	234
872	1600	232
873	1602	230
874	1603	229
875	1604	227
876	1606	225
877	1607	223
878	1609	221
879	1610	219
880	1612	217
881	1613	215
882	1615	214
883	1617	212
884	1619	210
885	1620	208
886	1622	206
887	1623	204
888	1625	202
889	1626	201
890	1627	199
891	1629	197
892	1631	195
893	1632	193
894	1634	191
895	1635	189
896	1637	188
897	1638	186
898	1640	184
899	1642	182
900	1643	180
901	1645	178
902	1647	176
903	1648	175
904	1649	173
905	1651	171
906	1652	169
907	1654	167
908	1655	165
909	1657	163
910	1658	162
911	1660	160
912	1662	158
913	1663	156
914	1664	154
915	1666	152
916	1667	150
917	1669	149
918	1670	147
919	1672	145
920	1673	143
921	1675	141
922	1677	139
923	1678	138
924	1680	136
925	1681	134
926	1683	132
927	1684	130
928	1686	128
929	1687	127
930	1689	125
931	1690	123
932	1692	121
933	1693	119
934	1695	117
935	1697	116
936	1700	114
937	1702	112
938	1704	110
939	1706	108
940	1707	107
941	1709	105
942	1710	103
943	1712	101
944	1713	99
945	1715	97
946	1716	96
947	1718	94
948	1720	92
949	1721	90
950	1723	88
951	1725	86
952	1726	85
953	1728	83
954	1730	81
955	1731	79
956	1733	77
957	1734	76
958	1736	74
959	1737	72
960	1739	70
961	1741	68
962	1742	66
963	1744	65
964	1745	63
965	1747	61
966	1748	59
967	1750	57
968	1751	56
969	1753	54
970	1754	52
971	1756	50
972	1758	48
973	1759	46
974	1761	45
975	1762	43
976	1764	41
977	1766	39
978	1767	37
979	1769	36
980	1770	34
981	1772	32
982	1773	30
983	1775	28
984	1776	27
985	1778	25
986	1780	23
987	1781	21
988	1783	19
989	1785	18
990	1786	16
991	1787	14
992	1789	12
993	1790	10
994	1792	9
995	1793	7
996	1796	5
997	1797	3
998	1798	1
999	1800	0
